num_test,start,end,time
1,1613410,1618996,5586
2,1680722,1685131,4409
3,1711437,1715098,3661
4,1736009,1740227,4218
5,1758319,1762326,4007
6,1784692,1788639,3947
7,1808719,1812463,3744
8,1835051,1839734,4683
9,1857368,1861747,4379
10,1886315,1890860,4545
11,1908538,1921612,13074
12,1938933,1943433,4500
13,1957296,1961446,4150
14,1974948,1979534,4586
15,1996175,2001438,5263
16,2018778,2024082,5304
17,2042106,2047572,5466
18,2065164,2070877,5713
19,2085966,2091052,5086
20,2104576,2110016,5440
21,2123514,2129709,6195
22,2146508,2152635,6127
23,2169990,2180962,10972
24,2198814,2205313,6499
25,2222401,2228258,5857
26,2242489,2248699,6210
27,2262686,2268746,6060
28,2285469,2292382,6913
29,2310008,2329570,19562
30,2348192,2356194,8002
31,2376245,2383436,7191
32,2405072,2413305,8233
33,2431637,2439786,8149
34,2457679,2465678,7999
35,2483943,2492025,8082
36,2511308,2520623,9315
37,2544940,2553822,8882
38,2572365,2581308,8943
39,2599351,2607884,8533
40,2625961,2642839,16878
41,2661633,2670196,8563
42,2688029,2697197,9168
43,2714864,2723435,8571
44,2740914,2750973,10059
45,2769020,2779199,10179
46,2801133,2811173,10040
47,2829017,2838895,9878
48,2858758,2869211,10453
49,2887003,2896960,9957
50,2914969,2933238,18269
51,2956867,2968294,11427
52,2986300,2997798,11498
53,3014094,3023566,9472
54,3037373,3047537,10164
55,3063577,3075045,11468
56,3092348,3103433,11085
57,3144598,3155889,11291
58,3172166,3189795,17629
59,3205966,3217980,12014
60,3235565,3247774,12209
61,3269989,3282544,12555
62,3300084,3311496,11412
63,3325900,3337406,11506
64,3352175,3365339,13164
65,3383014,3520750,137736
66,3552142,3565817,13675
67,3587957,3601245,13288
68,3620100,3634354,14254
69,3653066,3667516,14450
70,3686502,3702151,15649
71,3720777,3735658,14881
72,3754833,3779323,24490
73,3798753,3813604,14851
74,3835019,3850743,15724
75,3868252,3884254,16002
76,3901628,3916574,14946
77,3934858,3950814,15956
78,3968824,3993840,25016
79,4014367,4030459,16092
80,4050198,4067091,16893
81,4085592,4106041,20449
82,4124629,4141360,16731
83,4163317,4180059,16742
84,4197734,4220299,22565
85,4235560,4251495,15935
86,4268594,4286133,17539
87,4309943,4327614,17671
88,4345345,4361230,15885
89,4375856,4391753,15897
90,4408105,4433775,25670
91,4455468,4474526,19058
92,4492317,4508822,16505
93,4523182,4540018,16836
94,4556832,4575593,18761
95,4593478,4618859,25381
96,4640883,4659614,18731
97,4677540,4699451,21911
98,4718066,4737582,19516
99,4756900,4778130,21230
100,4796910,4832684,35774
101,4853389,4872732,19343
102,4893978,4914250,20272
103,4933090,4953599,20509
104,4970954,4991948,20994
105,5010048,5038826,28778
106,5063128,5083505,20377
107,5101721,5122268,20547
108,5139548,5165526,25978
109,5183543,5205213,21670
110,5228339,5258362,30023
111,5277062,5297744,20682
112,5312385,5333770,21385
113,5351295,5374642,23347
114,5393264,5423568,30304
115,5439961,5460707,20746
116,5475747,5499229,23482
117,5518798,5542160,23362
118,5560902,5588651,27749
119,5604488,5627023,22535
120,5644228,5667281,23053
121,5685437,5708822,23385
122,5729007,5753099,24092
123,5773987,5805341,31354
124,5824985,5850982,25997
125,5871224,5897443,26219
126,5917328,5941543,24215
127,5960496,6020704,60208
128,6040077,6064793,24716
129,6087429,6112727,25298
130,6131368,6155643,24275
131,6176111,6210152,34041
132,6228819,6253707,24888
133,6273175,6299138,25963
134,6317441,6347836,30395
135,6366473,6397244,30771
136,6412866,6438521,25655
137,6456113,6481603,25490
138,6499803,6525695,25892
139,6541366,6573675,32309
140,6592079,6620384,28305
141,6638998,6665905,26907
142,6681659,6707310,25651
143,6724383,6759684,35301
144,6778832,6807302,28470
145,6827804,6854902,27098
146,6874633,6903239,28606
147,6923327,6960435,37108
148,6981786,7004130,22344
149,7016741,7038780,22039
150,7050459,7083839,33380
151,7096709,7119553,22844
152,7131078,7154410,23332
153,7165871,7189274,23403
154,7200882,7229228,28346
155,7241776,7265408,23632
156,7276975,7300656,23681
157,7312102,7344918,32816
158,7357706,7382365,24659
159,7394040,7418523,24483
160,7429969,7542629,112660
161,7561337,7592514,31177
162,7605389,7630194,24805
163,7641790,7666750,24960
164,7692653,7723841,31188
165,7737592,7763423,25831
166,7775302,7801073,25771
167,7812568,7838182,25614
168,7849669,7881184,31515
169,7893965,7920308,26343
170,7932164,7958796,26632
171,7970280,8001686,31406
172,8014316,8041114,26798
173,8052966,8079963,26997
174,8091518,8124506,32988
175,8137129,8164321,27192
176,8176087,8203355,27268
177,8214932,8258683,43751
178,8272076,8299483,27407
179,8311117,8338539,27422
180,8350105,8378147,28042
181,8389762,8423161,33399
182,8435915,8464968,29053
183,8476872,8505734,28862
184,8517221,8551345,34124
185,8564054,8593032,28978
186,8604944,8634133,29189
187,8645601,8679530,33929
188,8692126,8721273,29147
189,8733201,8762701,29500
190,8774264,8808797,34533
191,8821420,8851432,30012
192,8863227,8893889,30662
193,8905508,8940910,35402
194,8953593,8984879,31286
195,8996633,9027787,31154
196,9039249,9075478,36229
197,9088217,9119491,31274
198,9131306,9163422,32116
199,9174891,9216180,41289
200,9228798,9261753,32955
201,9273526,9311590,38064
202,9324171,9357179,33008
203,9368768,9401471,32703
204,9412977,9450773,37796
205,9463625,9496606,32981
206,9508522,9541500,32978
207,9553025,9591295,38270
208,9603944,9637263,33319
209,9649206,9682766,33560
210,9694358,9733809,39451
211,9746529,9780168,33639
212,9791949,9826550,34601
213,9838135,9877838,39703
214,9890539,9925313,34774
215,9937090,9976849,39759
216,9989430,10024261,34831
217,10036297,10071094,34797
218,10082657,10122558,39901
219,10135339,10170417,35078
220,10182281,10217450,35169
221,10229121,10269357,40236
222,10282014,10317634,35620
223,10329602,10370131,40529
224,10382882,10418979,36097
225,10430970,10467564,36594
226,10479089,10521024,41935
227,10533647,10570082,36435
228,10581780,10619216,37436
229,10630899,10672875,41976
230,10685637,10723813,38176
231,10735759,10778634,42875
232,10791392,10829711,38319
233,10841661,10879732,38071
234,10891283,10936165,44882
235,10948987,10987930,38943
236,10999778,11048024,48246
237,11060831,11100237,39406
238,11112025,11151539,39514
239,11163357,11211653,48296
240,11224384,11264500,40116
241,11276344,11321839,45495
242,11334665,11375645,40980
243,11389602,11577634,188032
244,11607480,11662782,55302
245,11679615,11721151,41536
246,11733217,11779904,46687
247,11793102,11834559,41457
248,11846340,11887798,41458
249,11899496,11946238,46742
250,11959090,12000890,41800
251,12012986,12060237,47251
252,12073017,12115776,42759
253,12127759,12175588,47829
254,12188343,12231281,42938
255,12243272,12286286,43014
256,12297898,12345780,47882
257,12358575,12401796,43221
258,12413719,12462988,49269
259,12475859,12519685,43826
260,12531555,12580663,49108
261,12593552,12637438,43886
262,12649298,12693334,44036
263,12705055,12754053,48998
264,12766784,12811674,44890
265,12823684,12881155,57471
266,12894864,12940118,45254
267,12952181,13002149,49968
268,13015035,13060048,45013
269,13072047,13116820,44773
270,13128465,13183763,55298
271,13196514,13242644,46130
272,13254361,13306438,52077
273,13319241,13366216,46975
274,13378016,13430048,52032
275,13442839,13489830,46991
276,13501664,13553883,52219
277,13566607,13613564,46957
278,13625371,13673279,47908
279,13684891,13737776,52885
280,13750372,13798479,48107
281,13810501,13863638,53137
282,13876286,13925311,49025
283,13937332,13992424,55092
284,14005061,14055247,50186
285,14067246,14123022,55776
286,14135671,14186184,50513
287,14198141,14253398,55257
288,14266028,14316545,50517
289,14328487,14384214,55727
290,14396848,14447665,50817
291,14459626,14515800,56174
292,14528427,14579316,50889
293,14591250,14647285,56035
294,14659931,14712188,52257
295,14724119,14781090,56971
296,14793731,14845861,52130
297,14857829,14914943,57114
298,14927633,14979714,52081
299,14991626,15043902,52276
300,15055397,15116544,61147
301,15129201,15181770,52569
302,15193517,15251296,57779
303,15264155,15316710,52555
304,15328580,15453352,124772
305,15474985,15528497,53512
306,15540631,15595263,54632
307,15605443,15646806,41363
308,15656131,15706017,49886
309,15716170,15758565,42395
310,15767881,15814649,46768
311,15824687,15866890,42203
312,15876190,15923328,47138
313,15933339,15976296,42957
314,15995657,16043953,48296
315,16054535,16098322,43787
316,16107629,16155801,48172
317,16165899,16209713,43814
318,16219005,16267340,48335
319,16277357,16321974,44617
320,16331297,16379859,48562
321,16389880,16434861,44981
322,16444159,16492845,48686
323,16502853,16547723,44870
324,16557049,16606228,49179
325,16616236,16661494,45258
326,16670786,16723231,52445
327,16733359,16782747,49388
328,16792740,16838129,45389
329,16847488,16896605,49117
330,16906516,16951915,45399
331,16961213,17010543,49330
332,17020461,17066681,46220
333,17075986,17131867,55881
334,17142128,17188462,46334
335,17197677,17247773,50096
336,17257724,17303941,46217
337,17313290,17363487,50197
338,17373423,17420569,47146
339,17429918,17481058,51140
340,17490946,17538113,47167
341,17547466,17598741,51275
342,17608635,17655950,47315
343,17665284,17716485,51201
344,17726372,17774039,47667
345,17783372,17835169,51797
346,17845047,17896897,51850
347,17906971,18017410,110439
348,18027096,18079893,52797
349,18089957,18138707,48750
350,18148012,18201407,53395
351,18211387,18260909,49522
352,18270220,18326646,56426
353,18336639,18386161,49522
354,18395343,18449890,54547
355,18459714,18510109,50395
356,18519289,18573659,54370
357,18583649,18638028,54379
358,18648147,18698818,50671
359,18708056,18762597,54541
360,18772680,18824118,51438
361,18833365,18888790,55425
362,18898804,18950635,51831
363,18959916,19015621,55705
364,19025626,19077421,51795
365,19086690,19146515,59825
366,19156513,19212510,55997
367,19222548,19274662,52114
368,19283987,19470181,186194
369,19487561,19531103,43542
370,19538917,19585946,47029
371,19594291,19637740,43449
372,19645431,19692293,46862
373,19700485,19747316,46831
374,19755606,19800087,44481
375,19807645,19855307,47662
376,19863566,19908105,44539
377,19915738,19966139,50401
378,19974504,20019240,44736
379,20026866,20074981,48115
380,20083231,20131671,48440
381,20139876,20185352,45476
382,20192915,20241516,48601
383,20249723,20295144,45421
384,20302810,20352190,49380
385,20360372,20409948,49576
386,20418200,20464408,46208
387,20471916,20521407,49491
388,20529684,20575897,46213
389,20583497,20633331,49834
390,20641573,20691871,50298
391,20700111,20747273,47162
392,20754886,20809978,55092
393,20818486,20865776,47290
394,20873399,20924381,50982
395,20932480,20983347,50867
396,20991662,21039165,47503
397,21046773,21097447,50674
398,21105719,21153954,48235
399,21161597,21213899,52302
400,21222167,21275847,53680
401,21284112,21332457,48345
402,21340046,21392255,52209
403,21400365,21449504,49139
404,21457115,21509345,52230
405,21517514,21569867,52353
406,21578146,21627544,49398
407,21635122,21687751,52629
408,21695998,21745478,49480
409,21753069,21807777,54708
410,21816072,21869382,53310
411,21877581,21927876,50295
412,21935595,21989082,53487
413,21997267,22050734,53467
414,22059064,22109409,50345
415,22116980,22170332,53352
416,22178595,22229065,50470
417,22236686,22293699,57013
418,22302064,22356038,53974
419,22364288,22414931,50643
420,22422600,22477403,54803
421,22485585,22540230,54645
422,22548595,22600863,52268
423,22608458,22666554,58096
424,22674746,22730086,55340
425,22738371,22790623,52252
426,22798291,22853811,55520
427,22862036,22914218,52182
428,22921946,22977589,55643
429,22985771,23041504,55733
430,23049839,23102309,52470
431,23109910,23165726,55816
432,23173975,23230736,56761
433,23239061,23311093,72032
434,23327838,23388668,60830
435,23398161,23455330,57169
436,23463667,23517500,53833
437,23525096,23582252,57156
438,23590442,23647814,57372
439,23656006,23710015,54009
440,23717573,23775752,58179
441,23783871,23842005,58134
442,23850280,23905151,54871
443,23912681,23970842,58161
444,23979002,24044839,65837
445,24053487,24109190,55703
446,24116768,24176092,59324
447,24184315,24243408,59093
448,24251793,24307641,55848
449,24315247,24374486,59239
450,24382733,24442749,60016
451,24451004,24507629,56625
452,24515315,24575586,60271
453,24583740,24644044,60304
454,24652359,24709152,56793
455,24716758,24777784,61026
456,24786063,24846435,60372
457,24854629,24911773,57144
458,24919369,24980352,60983
459,24988446,25049475,61029
460,25065616,25123707,58091
461,25131921,25193676,61755
462,25201981,25267645,65664
463,25275930,25340472,64542
464,25348711,25408517,59806
465,25415972,25479057,63085
466,25487112,25550240,63128
467,25558407,25618189,59782
468,25625813,25690520,64707
469,25698604,25762727,64123
470,25770871,25831579,60708
471,25839022,25903067,64045
472,25911174,25975495,64321
473,25983637,26047527,63890
474,26055751,26116782,61031
475,26124330,26188864,64534
476,26196961,26261442,64481
477,26269579,26331016,61437
478,26338632,26403424,64792
479,26411508,26476205,64697
480,26484377,26549969,65592
481,26558131,26620429,62298
482,26628005,26693802,65797
483,26701869,26769728,67859
484,26778048,26840449,62401
485,26848065,26913669,65604
486,26921713,26987393,65680
487,26995570,27061078,65508
488,27069326,27132484,63158
489,27140027,27207405,67378
490,27215552,27282131,66579
491,27363247,27437327,74080
492,27450007,27514827,64820
493,27522575,27590845,68270
494,27599155,27667491,68336
495,27675763,27740575,64812
496,27748219,27816361,68142
497,27824506,27892844,68338
498,27901106,27969371,68265
499,27977566,28042759,65193
500,28050455,28119893,69438
501,28128040,28196772,68732
502,28205029,28276477,71448
503,28284739,28350922,66183
504,28358535,28428610,70075
505,28436797,28510135,73338
506,28518537,28588745,70208
507,28597010,28663972,66962
508,28671713,28742078,70365
509,28750268,28820829,70561
510,28829126,28900527,71401
511,28908781,28976741,67960
512,28984439,29055755,71316
513,29063942,29135184,71242
514,29143494,29214902,71408
515,29223174,29291369,68195
516,29299068,29370726,71658
517,29378913,29450344,71431
518,29458676,29530127,71451
519,29538376,29606820,68444
520,29614511,29686127,71616
521,29694344,29768396,74052
522,29776793,29849291,72498
523,29857563,29929959,72396
524,29938346,30008777,70431
525,30016450,30090036,73586
526,30098305,30171641,73336
527,30179908,30253476,73568
528,30261843,30332409,70566
529,30340098,30413638,73540
530,30421885,30495463,73578
531,30503741,30577772,74031
532,30586120,30657052,70932
533,30664730,30739057,74327
534,30747297,30836187,88890
535,30845514,30923543,78029
536,30932451,31006942,74491
537,31015227,31086153,70926
538,31093884,31168199,74315
539,31176351,31252956,76605
540,31261284,31414477,153193
541,31427843,31498971,71128
542,31506827,31582109,75282
543,31590314,31665741,75427
544,31674089,31749449,75360
545,31757738,31836386,78648
546,31844771,31917219,72448
547,31924885,32000322,75437
548,32008522,32084899,76377
549,32093184,32169464,76280
550,32177811,32251043,73232
551,32258679,32335197,76518
552,32343351,32420255,76904
553,32428437,32505260,76823
554,32513522,32590484,76962
555,32598733,32672680,73947
556,32680335,32757387,77052
557,32765494,32844986,79492
558,32853411,32931452,78041
559,32939742,33017590,77848
560,33025890,33100726,74836
561,33108440,33186451,78011
562,33194648,33272461,77813
563,33280658,33358409,77751
564,33366654,33445620,78966
565,33453897,33529755,75858
566,33537474,33616560,79086
567,33624737,33703578,78841
568,33711913,33790997,79084
569,33799246,33878485,79239
570,33886803,33963814,77011
571,33971467,34051503,80036
572,34059718,34140957,81239
573,34149051,34230375,81324
574,34238673,34322327,83654
575,34330680,34411966,81286
576,34420291,34498300,78009
577,34505948,34592049,86101
578,34600566,34682650,82084
579,34690769,34773121,82352
580,34781416,34863775,82359
581,34872102,34951251,79149
582,34958942,35041672,82730
583,35049899,35132336,82437
584,35140683,35226337,85654
585,35234725,35394775,160050
586,35409014,35493072,84058
587,35501467,35580946,79479
588,35588758,35672520,83762
589,35680672,35764542,83870
590,35772779,35856264,83485
591,35864431,35950636,86205
592,35958866,36042886,84020
593,36051136,36132097,80961
594,36139835,36224876,85041
595,36233015,36317875,84860
596,36326285,36410940,84655
597,36419155,36504092,84937
598,36512355,36597252,84897
599,36605474,36690500,85026
600,36698775,36781442,82667
601,36789070,36875115,86045
602,36883348,36970829,87481
603,36979016,37066272,87256
604,37074526,37161582,87056
605,37169786,37256839,87053
606,37272942,37363005,90063
607,37371693,37455591,83898
608,37463212,37551500,88288
609,37559577,37647880,88303
610,37656122,37744330,88208
611,37752607,37841171,88564
612,37849428,37937847,88419
613,37946029,38034618,88589
614,38042890,38160491,117601
615,38168580,38258685,90105
616,38266865,38361253,94388
617,38369901,38459750,89849
618,38467980,38559147,91167
619,38567475,38661622,94147
620,38670092,38762127,92035
621,38770377,38862492,92115
622,38870764,38965397,94633
623,38973679,39062486,88807
624,39070034,39162016,91982
625,39170306,39262466,92160
626,39270703,39436279,165576
627,39447405,39539788,92383
628,39548080,39640378,92298
629,39648713,39741171,92458
630,39749363,39841979,92616
631,39850254,39942945,92691
632,39951150,40041398,90248
633,40049014,40142547,93533
634,40150671,40244227,93556
635,40252439,40346180,93741
636,40354192,40447572,93380
637,40455737,40549416,93679
638,40557547,40653592,96045
639,40662079,40755811,93732
640,40763965,40857847,93882
641,40866147,40960193,94046
642,40968451,41060260,91809
643,41067933,41162797,94864
644,41170942,41266943,96001
645,41275180,41371034,95854
646,41379234,41474877,95643
647,41483159,41579128,95969
648,41587373,41684322,96949
649,41692597,41789465,96868
650,41797708,41894942,97234
651,41903189,42000391,97202
652,42008608,42109479,100871
653,42118067,42220860,102793
654,42229190,42324297,95107
655,42331893,42430237,98344
656,42438412,42536679,98267
657,42544964,42643369,98405
658,42651566,42749895,98329
659,42758165,42856673,98508
660,42864867,42964450,99583
661,42972720,43071926,99206
662,43080128,43180503,100375
663,43188715,43289573,100858
664,43297853,43426094,128241
665,43438508,43539128,100620
666,43547604,43648254,100650
667,43656676,43757472,100796
668,43765712,43869294,103582
669,43877779,43978750,100971
670,43987042,44084904,97862
671,44092624,44193881,101257
672,44202143,44303428,101285
673,44311672,44412861,101189
674,44421114,44523543,102429
675,44531753,44633934,102181
676,44642144,44744430,102286
677,44752685,44854942,102257
678,44863194,44966618,103424
679,44974913,45078102,103189
680,45086437,45189863,103426
681,45198118,45301618,103500
682,45309940,45413555,103615
683,45421807,45527534,105727
684,45535877,45640915,105038
685,45649142,45753549,104407
686,45761829,45869676,107847
687,45878166,45986803,108637
688,45995434,46100151,104717
689,46108406,46213101,104695
690,46221463,46326314,104851
691,46334638,46439920,105282
692,46448189,46554696,106507
693,46563001,46669242,106241
694,46677537,46783512,105975
695,46791895,46897943,106048
696,46906315,47012356,106041
697,47020643,47129157,108514
698,47137487,47309771,172284
699,47320527,47428023,107496
700,47436335,47543201,106866
701,47551455,47658220,106765
702,47666425,47774317,107892
703,47782537,47889818,107281
704,47898000,48005795,107795
705,48013949,48121579,107630
706,48129660,48238924,109264
707,48247143,48354908,107765
708,48363115,48471291,108176
709,48479563,48587633,108070
710,48595811,48705119,109308
711,48713374,48822061,108687
712,48830288,48941516,111228
713,48949868,49058500,108632
714,49066652,49175700,109048
715,49183914,49292789,108875
716,49301014,49409901,108887
717,49418153,49527304,109151
718,49535531,49648253,112722
719,49656645,49766099,109454
720,49774371,49884795,110424
721,49893032,50007117,114085
722,50015717,50126326,110609
723,50134451,50245072,110621
724,50253267,50363650,110383
725,50371955,50482832,110877
726,50491054,50603793,112739
727,50612056,50723076,111020
728,50731395,50843044,111649
729,50851304,50963149,111845
730,50971481,51083360,111879
731,51091618,51203753,112135
732,51212008,51396107,184099
733,51406928,51519213,112285
734,51527558,51640929,113371
735,51649226,51762539,113313
736,51770801,51884109,113308
737,51892331,52005710,113379
738,52013989,52127743,113754
739,52135933,52249439,113506
740,52257643,52376259,118616
741,52384722,52499370,114648
742,52507522,52622399,114877
743,52630679,52745347,114668
744,52753657,52869714,116057
745,52877941,52996758,118817
746,53005138,53121618,116480
747,53129888,53245947,116059
748,53254260,53374269,120009
749,53390608,53507183,116575
750,53515872,53632623,116751
751,53640975,53757288,116313
752,53765605,53885416,119811
753,53893586,54014900,121314
754,54023360,54140708,117348
755,54148915,54266563,117648
756,54274868,54392466,117598
757,54400731,54518269,117538
758,54526529,54645132,118603
759,54653402,54772386,118984
760,54780676,54899254,118578
761,54907476,55026159,118683
762,55034439,55154152,119713
763,55162362,55298955,136593
764,55310848,55431504,120656
765,55439919,55559825,119906
766,55568055,55690878,122823
767,55699253,55819049,119796
768,55827131,55947363,120232
769,55955482,56078977,123495
770,56087184,56208927,121743
771,56217102,56338404,121302
772,56346638,56468111,121473
773,56476385,56597665,121280
774,56605884,56728673,122789
775,56736922,56859222,122300
776,56867471,56990397,122926
777,56998725,57124623,125898
778,57132998,57256217,123219
779,57264406,57388878,124472
780,57397163,57520580,123417
781,57528722,57651986,123264
782,57660151,57782894,122743
783,57791166,57917307,126141
784,57925604,58052490,126886
785,58061243,58184407,123164
786,58192727,58316159,123432
787,58324436,58447683,123247
788,58455890,58580420,124530
789,58588777,58713620,124843
790,58721855,58846793,124938
791,58855088,58980091,125003
792,58988434,59115059,126625
793,59123388,59330781,207393
794,59344932,59471096,126164
795,59479624,59604930,125306
796,59613165,59738294,125129
797,59746558,59874922,128364
798,59883174,60009847,126673
799,60018129,60144423,126294
800,60152663,60279292,126629
801,60287462,60413834,126372
802,60422073,60548548,126475
803,60556735,60683547,126812
804,60691742,60818399,126657
805,60826621,60955426,128805
806,60963731,61093285,129554
807,61101570,61228653,127083
808,61236833,61366137,129304
809,61374346,61500836,126490
810,61509088,61637058,127970
811,61645235,61773010,127775
812,61781197,61910165,128968
813,61918387,62047247,128860
814,62055469,62184730,129261
815,62192950,62326734,133784
816,62335270,62464263,128993
817,62472390,62601854,129464
818,62610091,62741885,131794
819,62750050,62882333,132283
820,62890455,63019962,129507
821,63028169,63157748,129579
822,63238476,63369949,131473
823,63380189,63511021,130832
824,63519336,63651569,132233
825,63659794,63792012,132218
826,63800236,63932497,132261
827,63940672,64072860,132188
828,64080994,64217510,136516
829,64225795,64359223,133428
830,64367405,64504788,137383
831,64513218,64648153,134935
832,64656357,64791182,134825
833,64799406,64934266,134860
834,64942533,65080588,138055
835,65088887,65226614,137727
836,65234928,65369956,135028
837,65378306,65513215,134909
838,65521452,65656277,134825
839,65664559,65799431,134872
840,65807688,65943836,136148
841,65952050,66088213,136163
842,66096457,66234304,137847
843,66242478,66384204,141726
844,66392579,66532729,140150
845,66541302,66677820,136518
846,66685917,66822285,136368
847,66830542,66966938,136396
848,66975210,67111568,136358
849,67119790,67333160,213370
850,67345479,67485857,140378
851,67494307,67631284,136977
852,67639538,67776628,137090
853,67784958,67921652,136694
854,67929884,68067951,138067
855,68076253,68217012,140759
856,68225299,68363709,138410
857,68371947,68512898,140951
858,68521273,68660911,139638
859,68669181,68808514,139333
860,68816758,68957534,140776
861,68965847,69110422,144575
862,69118802,69259801,140999
863,69268088,69411711,143623
864,69420053,69562303,142250
865,69570565,69712687,142122
866,69720974,69863266,142292
867,69871473,70015783,144310
868,70024062,70166583,142521
869,70174872,70320447,145575
870,70328795,70471287,142492
871,70479607,70622105,142498
872,70630400,70773075,142675
873,70781310,70927952,146642
874,70936666,71079579,142913
875,71087834,71303306,215472
876,71314447,71457729,143282
877,71466172,71609138,142966
878,71617395,71761565,144170
879,71769799,71916479,146680
880,71924909,72072008,147099
881,72080283,72224685,144402
882,72233070,72378861,145791
883,72387133,72532329,145196
884,72540589,72687339,146750
885,72695642,72842635,146993
886,72850872,73000602,149730
887,73008947,73159311,150364
888,73167678,73315814,148136
889,73324032,73471839,147807
890,73480109,73628220,148111
891,73647083,73798810,151727
892,73807448,73955767,148319
893,73964102,74112413,148311
894,74120728,74269290,148562
895,74277615,74428751,151136
896,74436940,74585650,148710
897,74593955,74742460,148505
898,74750830,74899359,148529
899,74907624,75055793,148169
900,75064050,75288072,224022
901,75299427,75450923,151496
902,75459291,75608677,149386
903,75616987,75766409,149422
904,75774759,75923962,149203
905,75932224,76084749,152525
906,76093056,76242655,149599
907,76250880,76400455,149575
908,76408682,76559429,150747
909,76567729,76718123,150394
910,76726290,76879721,153431
911,76888031,77038723,150692
912,77047020,77202331,155311
913,77210716,77364957,154241
914,77373317,77525593,152276
915,77533802,77689218,155416
916,77697473,77850025,152552
917,77858349,78010728,152379
918,78019015,78171246,152231
919,78179528,78335263,155735
920,78343595,78497462,153867
921,78505715,78659274,153559
922,78667606,78821265,153659
923,78829462,78983370,153908
924,78991589,79150742,159153
925,79159041,79332085,173044
926,79343953,79498161,154208
927,79506617,79660865,154248
928,79669227,79831785,162558
929,79840446,79994802,154356
930,80003162,80158831,155669
931,80167086,80322321,155235
932,80330596,80489047,158451
933,80497294,80653015,155721
934,80661320,80817032,155712
935,80825307,80981479,156172
936,80989744,81148072,158328
937,81156334,81318268,161934
938,81326794,81483884,157090
939,81492173,81649416,157243
940,81657708,81814828,157120
941,81823163,81983150,159987
942,81991335,82149953,158618
943,82158218,82316746,158528
944,82325111,82483808,158697
945,82492052,82653022,160970
946,82661367,82820283,158916
947,82828531,82989377,160846
948,82997634,83172028,174394
949,83182811,83347402,164591
950,83355972,83516505,160533
951,83524890,83685250,160360
952,83693718,83854103,160385
953,83862398,84025678,163280
954,84034113,84199453,165340
955,84208108,84370125,162017
956,84378490,84540346,161856
957,84548759,84713377,164618
958,84721732,84885773,164041
959,84894108,85055844,161736
960,85064239,85229201,164962
961,85237583,85399312,161729
962,85407754,85573224,165470
963,85581687,85743904,162217
964,85752181,85918584,166403
965,85927019,86089399,162380
966,86097716,86259888,162172
967,86268243,86430115,161872
968,86438427,86604699,166272
969,86612996,86778992,165996
970,86787437,86951411,163974
971,86959709,87126221,166512
972,87134536,87313701,179165
973,87324326,87489736,165410
974,87498159,87663481,165322
975,87671831,87841313,169482
976,87849733,88015108,165375
977,88023458,88188462,165004
978,88196811,88363154,166343
979,88371416,88541046,169630
980,88549386,88722388,173002
981,88731059,88898273,167214
982,88906611,89077682,171071
983,89086172,89253301,167129
984,89261676,89430471,168795
985,89438783,89610330,171547
986,89618745,89790435,171690
987,89798860,89967257,168397
988,89975582,90143493,167911
989,90151843,90322671,170828
990,90331021,90499583,168562
991,90507960,90678595,170635
992,90687088,90860151,173063
993,90868453,91038735,170282
994,91046917,91233305,186388
995,91245043,91418981,173938
996,91427371,91597634,170263
997,91606029,91776060,170031
998,91784265,91955774,171509
999,91963951,92138899,174948
1000,92147261,92319064,171803
1001,92327364,92499359,171995
1002,92507619,92684444,176825
1003,92692944,92864827,171883
1004,92873131,93045182,172051
1005,93053422,93232790,179368
1006,93241425,93413945,172520
1007,93422390,93594724,172334
1008,93603086,93778380,175294
1009,93786720,93959274,172554
1010,93967606,94144827,177221
1011,94153307,94330051,176744
1012,94338494,94515003,176509
1013,94523315,94697471,174156
1014,94705766,94881407,175641
1015,94889792,95068374,178582
1016,95076724,95266612,189888
1017,95277190,95453180,175990
1018,95461442,95640301,178859
1019,95648564,95824163,175599
1020,95832340,96009247,176907
1021,96017414,96197717,180303
1022,96205871,96384711,178840
1023,96392903,96573920,181017
1024,96582282,96764294,182012
1025,96772521,96951549,179028
1026,96959696,97141274,181578
1027,97149646,97328756,179110
1028,97337021,97515963,178942
1029,97524125,97706400,182275
1030,97714708,97897562,182854
1031,97914016,98093830,179814
1032,98102624,98291988,189364
1033,98300333,98481097,180764
1034,98489329,98671501,182172
1035,98679881,98865229,185348
1036,98873571,99055884,182313
1037,99064134,99260009,195875
1038,99270599,99456026,185427
1039,99464391,99646907,182516
1040,99655194,99838998,183804
1041,99847180,100034121,186941
1042,100042373,100226363,183990
1043,100234595,100423781,189186
1044,100432329,100616354,184025
1045,100624686,100808647,183961
